MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1922721	1700009N14Rik	RIKEN cDNA 1700009N14 gene	4		nucleolus			ISO	P62826 	J:164563 	
MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	X		nucleolus	is a part of spermatocyte		IDA		J:173957 	
MGI:1925709	1700057G04Rik	RIKEN cDNA 1700057G04 gene	9		nucleolus			ISO	O15162 	J:164563 	
MGI:1919525	2200002D01Rik	RIKEN cDNA 2200002D01 gene	7		nucleolus			IDA		J:82429 	
MGI:3041172	9930104L06Rik	RIKEN cDNA 9930104L06 gene	4		nucleolus			ISO	Q9NX04 	J:164563 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		nucleolus			IBA	PTN000399850 	J:265628 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		nucleolus			IDA		J:65741 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		nucleolus			ISO	Q9NY61 	J:164563 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		nucleolus			ISO	Q9NUT2 	J:164563 	
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14		nucleolus			ISO	O15439 	J:164563 	
MGI:1923741	Abhd14b	abhydrolase domain containing 14b	9		nucleolus			ISO	Q96IU4 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		nucleolus			ISO	P00519 	J:73065 	
MGI:1353636	Abt1	activator of basal transcription 1	13		nucleolus			IBA	PTN000267771 	J:265628 	
MGI:1933148	Abtb1	ankyrin repeat and  BTB (POZ) domain containing 1	6		nucleolus			ISO	Q969K4 	J:164563 	
MGI:108451	Acaca	acetyl-Coenzyme A carboxylase alpha	11		fibrillar center			ISO	Q13085 	J:164563 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		nucleolus			ISO	P49748 	J:164563 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		nucleolus			IDA		J:64959 	
MGI:1919129	Acsl5	acyl-CoA synthetase long-chain family member 5	19		nucleolus			ISO	Q9ULC5 	J:164563 	
MGI:103258	Adad1	adenosine deaminase domain containing 1 (testis specific)	3		nucleolus			IBA	PTN000098822 	J:265628 	
MGI:1923023	Adad2	adenosine deaminase domain containing 2	8		nucleolus			IBA	PTN000098822 	J:265628 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus			IBA	PTN000098822 	J:265628 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus		PR:Q99MU3-3	IDA		J:201723 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus		PR:Q99MU3-4	IDA		J:201723 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus	is a part of fibroblast		IDA		J:87714 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus			ISO	RGD:71099 	J:155856 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		nucleolus			ISO	P55265 	J:164563 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		nucleolus			IBA	PTN000098822 	J:265628 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		nucleolus			ISO	RGD:2033 	J:155856 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		nucleolus			ISO	P78563 	J:164563 	
MGI:2151118	Adarb2	adenosine deaminase, RNA-specific, B2	13		nucleolus			IBA	PTN000098822 	J:265628 	
MGI:1915298	Aen	apoptosis enhancing nuclease	7		nucleolus			ISO	Q8WTP8 	J:164563 	
